code_muni;RR_anual;li;ls;p;motivo;p_aj;classe_tendencia
3127800;;;;;casos insuficientes;;Não estimável
3128253;;;;;casos insuficientes;;Não estimável
3129608;;;;;casos insuficientes;;Não estimável
3129657;;;;;casos insuficientes;;Não estimável
3130051;;;;;casos insuficientes;;Não estimável
3130655;;;;;casos insuficientes;;Não estimável
3132008;;;;;casos insuficientes;;Não estimável
3132107;;;;;casos insuficientes;;Não estimável
3135050;;;;;casos insuficientes;;Não estimável
3135100;1,32188758023972e+00;1,05469712218652e+00;1,65676641950959e+00;1,54270351825941e-02;;5,00336276192241e-02;Estável
3135209;3,17849328126207e+00;2,10357053640761e+00;4,80270062932202e+00;3,99716976285397e-08;;9,59320743084953e-07;Crescente
3135357;1,18187188893380e+00;8,66212501036954e-01;1,61256176767225e+00;2,91874982653859e-01;;4,60855235769251e-01;Estável
3135605;;;;;casos insuficientes;;Não estimável
3136405;;;;;casos insuficientes;;Não estimável
3136579;;;;;casos insuficientes;;Não estimável
3136801;;;;;casos insuficientes;;Não estimável
3136959;;;;;casos insuficientes;;Não estimável
3137304;;;;;casos insuficientes;;Não estimável
3138104;;;;;casos insuficientes;;Não estimável
3138658;;;;;casos insuficientes;;Não estimável
3138682;1,05266571390968e+00;9,25630808921984e-01;1,19713507216932e+00;4,34091045136443e-01;;6,05708435074107e-01;Estável
3139250;;;;;casos insuficientes;;Não estimável
3139300;;;;;casos insuficientes;;Não estimável
3140852;;;;;casos insuficientes;;Não estimável
3141009;;;;;casos insuficientes;;Não estimável
3142007;6,49360554701775e-01;5,07133455881407e-01;8,31475669988541e-01;6,19019785090261e-04;;3,53725591480149e-03;Decrescente
3142254;1,10441890070101e+00;9,37343259052690e-01;1,30127474267893e+00;2,35312863526259e-01;;3,92188105877098e-01;Estável
3142700;;;;;casos insuficientes;;Não estimável
3142908;;;;;casos insuficientes;;Não estimável
3143302;1,65872420993200e+00;1,36472665415114e+00;2,01605647273439e+00;3,69803733049885e-07;;7,39607466099770e-06;Crescente
3143450;;;;;casos insuficientes;;Não estimável
3144656;;;;;casos insuficientes;;Não estimável
3145059;;;;;casos insuficientes;;Não estimável
3145372;;;;;casos insuficientes;;Não estimável
3145455;;;;;casos insuficientes;;Não estimável
